Environment,Required_Strength,Durability_Priority,Eco_Preference,Application_Area,Max_Lead_Time,Material_Name
Dry,Medium,7,No,Factory Equipment,20,Cast Iron
Humid,High,8,Yes,Chemical Storage,32,HDPE
Coastal,Low,4,No,Seaside Structures,14,Aluminum 6061
Dry,High,10,Yes,Aircraft Parts,39,Aluminum 6061
Humid,Medium,5,No,Piping Systems,13,Copper
Coastal,High,9,Yes,Ship Building,36,Stainless Steel 316
Dry,Low,2,Yes,Event Structures,6,Plywood
Humid,High,6,No,Manufacturing Equipment,24,Cast Iron
Coastal,Medium,5,Yes,Design Elements,17,Aluminum 6061
Dry,Medium,6,No,Industrial Components,21,Carbon Steel
Humid,Low,3,Yes,Home Decor,10,Engineered Wood
Coastal,High,7,Yes,Oil Platforms,34,Stainless Steel 316
Dry,High,8,No,Transportation Parts,24,Aluminum 6061
Humid,Medium,7,Yes,Water Management,16,PVC
Coastal,Low,4,No,Garden Furniture,12,Teak Wood
Dry,Medium,5,Yes,Construction Elements,12,Galvanized Steel
Humid,High,10,No,Process Vessels,30,Stainless Steel 304
Coastal,Medium,6,Yes,Marine Accessories,20,Aluminum 6061
Dry,Low,3,No,Short-term Use Items,7,Medium Density Fiberboard
Humid,Medium,4,Yes,Household Fixtures,11,Ceramic
Coastal,High,9,No,Defense Components,41,Titanium Grade 5
Dry,High,7,Yes,Building Frames,26,Carbon Steel
Humid,Low,2,No,Exhibition Items,9,Plywood
Coastal,Medium,7,Yes,Boat Parts,22,Stainless Steel 316
Dry,Medium,6,No,Production Machinery,19,Cast Iron
Humid,High,9,Yes,Chemical Processing,33,HDPE
Coastal,Low,5,No,Waterfront Structures,15,Aluminum 6061
Dry,High,9,Yes,Aviation Structures,37,Aluminum 6061
Humid,Medium,6,No,Water Supply,14,Copper
Coastal,High,10,Yes,Marine Engineering,39,Stainless Steel 316
Dry,Low,3,Yes,Pop-up Installations,8,Plywood
Humid,High,7,No,Industrial Systems,25,Cast Iron
Coastal,Medium,6,Yes,Architectural Design,18,Aluminum 6061
Dry,Medium,5,No,Mechanical Systems,20,Carbon Steel
Humid,Low,4,Yes,Interior Design,10,Engineered Wood
Coastal,High,8,Yes,Offshore Installations,35,Stainless Steel 316
Dry,High,7,No,Automotive Systems,23,Aluminum 6061
Humid,Medium,6,Yes,Water Distribution,15,PVC
Coastal,Low,5,No,Outdoor Decor,13,Teak Wood
Dry,Medium,4,Yes,Structural Framing,11,Galvanized Steel
Humid,High,9,No,Processing Equipment,28,Stainless Steel 304
Coastal,Medium,7,Yes,Marine Components,19,Aluminum 6061
Dry,Low,2,No,Temporary Displays,6,Medium Density Fiberboard
Humid,Medium,5,Yes,Bathroom Accessories,12,Ceramic
Coastal,High,10,No,Strategic Equipment,40,Titanium Grade 5
Dry,High,8,Yes,Support Frames,24,Carbon Steel
Humid,Low,3,No,Display Units,9,Plywood
Coastal,Medium,6,Yes,Ship Equipment,21,Stainless Steel 316
Dry,Medium,7,No,Manufacturing Systems,20,Cast Iron
Humid,High,8,Yes,Chemical Handling,31,HDPE
Coastal,Low,4,No,Seaside Features,14,Aluminum 6061
Dry,High,10,Yes,Aircraft Components,38,Aluminum 6061
Humid,Medium,5,No,Plumbing Networks,13,Copper
Coastal,High,9,Yes,Naval Construction,36,Stainless Steel 316
Dry,Low,2,Yes,Event Equipment,7,Plywood
Humid,High,6,No,Production Systems,24,Cast Iron
Coastal,Medium,5,Yes,Design Features,17,Aluminum 6061
Dry,Medium,6,No,Industrial Machinery,21,Carbon Steel
Humid,Low,3,Yes,Home Furnishings,10,Engineered Wood
Coastal,High,7,Yes,Oil Industry Structures,34,Stainless Steel 316
Dry,High,8,No,Vehicle Systems,24,Aluminum 6061
Humid,Medium,7,Yes,Water Systems,16,PVC
Coastal,Low,4,No,Patio Furniture,12,Teak Wood
Dry,Medium,5,Yes,Building Components,12,Galvanized Steel
Humid,High,10,No,Industrial Containers,30,Stainless Steel 304
Coastal,Medium,6,Yes,Boat Hardware,20,Aluminum 6061
Dry,Low,3,No,Short-term Structures,7,Medium Density Fiberboard
Humid,Medium,4,Yes,Household Items,11,Ceramic
Coastal,High,9,No,Military Systems,41,Titanium Grade 5
Dry,High,7,Yes,Structural Frames,26,Carbon Steel
Humid,Low,2,No,Exhibition Displays,9,Plywood
Coastal,Medium,7,Yes,Marine Parts,22,Stainless Steel 316
Dry,Medium,6,No,Factory Systems,19,Cast Iron
Humid,High,9,Yes,Chemical Systems,33,HDPE
Coastal,Low,5,No,Waterfront Features,15,Aluminum 6061
Dry,High,9,Yes,Aviation Parts,37,Aluminum 6061
Humid,Medium,6,No,Water Infrastructure,14,Copper
Coastal,High,10,Yes,Shipbuilding,39,Stainless Steel 316
Dry,Low,3,Yes,Temporary Setups,8,Plywood
Humid,High,7,No,Processing Machinery,25,Cast Iron
Coastal,Medium,6,Yes,Architectural Elements,18,Aluminum 6061
Dry,Medium,5,No,Mechanical Equipment,20,Carbon Steel
Humid,Low,4,Yes,Interior Elements,10,Engineered Wood
Coastal,High,8,Yes,Offshore Structures,35,Stainless Steel 316
Dry,High,7,No,Transportation Systems,23,Aluminum 6061
Humid,Medium,6,Yes,Water Management,15,PVC
Coastal,Low,5,No,Garden Elements,13,Teak Wood
Dry,Medium,4,Yes,Construction Frames,11,Galvanized Steel
Humid,High,9,No,Industrial Vessels,28,Stainless Steel 304
Coastal,Medium,7,Yes,Marine Systems,19,Aluminum 6061
Dry,Low,2,No,Display Materials,6,Medium Density Fiberboard
Humid,Medium,5,Yes,Bathroom Items,12,Ceramic
Coastal,High,10,No,Defense Technology,40,Titanium Grade 5
Dry,High,8,Yes,Support Systems,24,Carbon Steel
Humid,Low,3,No,Show Items,9,Plywood
Coastal,Medium,6,Yes,Naval Equipment,21,Stainless Steel 316
Dry,Medium,7,No,Production Equipment,20,Cast Iron
Humid,High,8,Yes,Chemical Processing,31,HDPE
Coastal,Low,4,No,Coastal Elements,14,Aluminum 6061
Dry,High,10,Yes,Aerospace Systems,38,Aluminum 6061
Humid,Medium,5,No,Plumbing Installations,13,Copper
Coastal,High,9,Yes,Marine Technology,36,Stainless Steel 316
Dry,Low,2,Yes,Event Materials,7,Plywood
Humid,High,6,No,Manufacturing Technology,24,Cast Iron
Coastal,Medium,5,Yes,Design Components,17,Aluminum 6061
Dry,Medium,6,No,Industrial Technology,21,Carbon Steel
Humid,Low,3,Yes,Home Technology,10,Engineered Wood
Coastal,High,7,Yes,Oil Technology,34,Stainless Steel 316
Dry,High,8,No,Automotive Technology,24,Aluminum 6061
Humid,Medium,7,Yes,Water Technology,16,PVC
Coastal,Low,4,No,Outdoor Technology,12,Teak Wood
Dry,Medium,5,Yes,Construction Technology,12,Galvanized Steel
Humid,High,10,No,Industrial Technology,30,Stainless Steel 304
Coastal,Medium,6,Yes,Marine Technology,20,Aluminum 6061
Dry,Low,3,No,Temporary Technology,7,Medium Density Fiberboard
Humid,Medium,4,Yes,Household Technology,11,Ceramic
Coastal,High,9,No,Military Technology,41,Titanium Grade 5
Dry,High,7,Yes,Structural Technology,26,Carbon Steel
Humid,Low,2,No,Display Technology,9,Plywood
Coastal,Medium,7,Yes,Ship Technology,22,Stainless Steel 316
Dry,Medium,6,No,Factory Technology,19,Cast Iron
Humid,High,9,Yes,Chemical Technology,33,HDPE
Coastal,Low,5,No,Waterfront Technology,15,Aluminum 6061
Dry,High,9,Yes,Aviation Technology,37,Aluminum 6061
Humid,Medium,6,No,Plumbing Technology,14,Copper
Coastal,High,10,Yes,Naval Technology,39,Stainless Steel 316
Dry,Low,3,Yes,Event Technology,8,Plywood
Humid,High,7,No,Processing Technology,25,Cast Iron
Coastal,Medium,6,Yes,Architectural Technology,18,Aluminum 6061
Dry,Medium,5,No,Mechanical Technology,20,Carbon Steel
Humid,Low,4,Yes,Interior Technology,10,Engineered Wood
Coastal,High,8,Yes,Offshore Technology,35,Stainless Steel 316
Dry,High,7,No,Transportation Technology,23,Aluminum 6061
Humid,Medium,6,Yes,Water Systems Technology,15,PVC
Coastal,Low,5,No,Garden Technology,13,Teak Wood
Dry,Medium,4,Yes,Construction Systems,11,Galvanized Steel
Humid,High,9,No,Industrial Systems,28,Stainless Steel 304
Coastal,Medium,7,Yes,Marine Systems,19,Aluminum 6061
Dry,Low,2,No,Display Systems,6,Medium Density Fiberboard
Humid,Medium,5,Yes,Bathroom Systems,12,Ceramic
Coastal,High,10,No,Defense Systems,40,Titanium Grade 5
Dry,High,8,Yes,Support Systems,24,Carbon Steel
Humid,Low,3,No,Show Systems,9,Plywood
Coastal,Medium,6,Yes,Naval Systems,21,Stainless Steel 316
Dry,Medium,7,No,Production Systems,20,Cast Iron
Humid,High,8,Yes,Chemical Systems,31,HDPE
Coastal,Low,4,No,Coastal Systems,14,Aluminum 6061
Dry,High,10,Yes,Aerospace Systems,38,Aluminum 6061
Humid,Medium,5,No,Plumbing Systems,13,Copper
Coastal,High,9,Yes,Marine Engineering,36,Stainless Steel 316
Dry,Low,2,Yes,Event Systems,7,Plywood
Humid,High,6,No,Manufacturing Systems,24,Cast Iron
Coastal,Medium,5,Yes,Design Systems,17,Aluminum 6061
Dry,Medium,6,No,Industrial Equipment,21,Carbon Steel
Humid,Low,3,Yes,Home Equipment,10,Engineered Wood
Coastal,High,7,Yes,Oil Equipment,34,Stainless Steel 316
Dry,High,8,No,Automotive Equipment,24,Aluminum 6061
Humid,Medium,7,Yes,Water Equipment,16,PVC
Coastal,Low,4,No,Outdoor Equipment,12,Teak Wood
Dry,Medium,5,Yes,Construction Equipment,12,Galvanized Steel
Humid,High,10,No,Industrial Machinery,30,Stainless Steel 304
Coastal,Medium,6,Yes,Marine Machinery,20,Aluminum 6061
Dry,Low,3,No,Temporary Machinery,7,Medium Density Fiberboard
Humid,Medium,4,Yes,Household Machinery,11,Ceramic
Coastal,High,9,No,Military Machinery,41,Titanium Grade 5
Dry,High,7,Yes,Structural Machinery,26,Carbon Steel
Humid,Low,2,No,Display Machinery,9,Plywood
Coastal,Medium,7,Yes,Ship Machinery,22,Stainless Steel 316
Dry,Medium,6,No,Factory Machinery,19,Cast Iron
Humid,High,9,Yes,Chemical Machinery,33,HDPE
Coastal,Low,5,No,Waterfront Machinery,15,Aluminum 6061
Dry,High,9,Yes,Aviation Machinery,37,Aluminum 6061
Humid,Medium,6,No,Plumbing Machinery,14,Copper
Coastal,High,10,Yes,Naval Machinery,39,Stainless Steel 316
Dry,Low,3,Yes,Event Machinery,8,Plywood
Humid,High,7,No,Processing Machinery,25,Cast Iron
Coastal,Medium,6,Yes,Architectural Machinery,18,Aluminum 6061
Dry,Medium,5,No,Mechanical Devices,20,Carbon Steel
Humid,Low,4,Yes,Interior Devices,10,Engineered Wood
Coastal,High,8,Yes,Offshore Devices,35,Stainless Steel 316
Dry,High,7,No,Transportation Devices,23,Aluminum 6061
Humid,Medium,6,Yes,Water Devices,15,PVC
Coastal,Low,5,No,Garden Devices,13,Teak Wood
Dry,Medium,4,Yes,Construction Devices,11,Galvanized Steel
Humid,High,9,No,Industrial Devices,28,Stainless Steel 304
Coastal,Medium,7,Yes,Marine Devices,19,Aluminum 6061
Dry,Low,2,No,Display Devices,6,Medium Density Fiberboard
Humid,Medium,5,Yes,Bathroom Devices,12,Ceramic
Coastal,High,10,No,Defense Devices,40,Titanium Grade 5
Dry,High,8,Yes,Support Devices,24,Carbon Steel
Humid,Low,3,No,Show Devices,9,Plywood
Coastal,Medium,6,Yes,Ship Devices,21,Stainless Steel 316
Dry,Medium,7,No,Production Devices,20,Cast Iron
Humid,High,8,Yes,Chemical Devices,31,HDPE
Coastal,Low,4,No,Coastal Devices,14,Aluminum 6061
Dry,High,10,Yes,Aerospace Devices,38,Aluminum 6061
Humid,Medium,5,No,Plumbing Devices,13,Copper
Coastal,High,9,Yes,Marine Components,36,Stainless Steel 316
Dry,Low,2,Yes,Event Components,7,Plywood
Humid,High,6,No,Manufacturing Components,24,Cast Iron
Coastal,Medium,5,Yes,Design Components,17,Aluminum 6061
Dry,Medium,6,No,Industrial Components,21,Carbon Steel
Humid,Low,3,Yes,Home Components,10,Engineered Wood
Coastal,High,7,Yes,Oil Components,34,Stainless Steel 316
Dry,High,8,No,Automotive Components,24,Aluminum 6061
Humid,Medium,7,Yes,Water Components,16,PVC
Coastal,Low,4,No,Outdoor Components,12,Teak Wood
Dry,Medium,5,Yes,Construction Components,12,Galvanized Steel
Humid,High,10,No,Industrial Parts,30,Stainless Steel 304
Coastal,Medium,6,Yes,Marine Parts,20,Aluminum 6061
Dry,Low,3,No,Temporary Parts,7,Medium Density Fiberboard
Humid,Medium,4,Yes,Household Parts,11,Ceramic
Coastal,High,9,No,Military Parts,41,Titanium Grade 5
Dry,High,7,Yes,Structural Parts,26,Carbon Steel
Humid,Low,2,No,Display Parts,9,Plywood
Coastal,Medium,7,Yes,Ship Parts,22,Stainless Steel 316
Dry,Medium,6,No,Factory Parts,19,Cast Iron
Humid,High,9,Yes,Chemical Parts,33,HDPE
Coastal,Low,5,No,Waterfront Parts,15,Aluminum 6061
Dry,High,9,Yes,Aviation Parts,37,Aluminum 6061
Humid,Medium,6,No,Plumbing Parts,14,Copper
Coastal,High,10,Yes,Naval Parts,39,Stainless Steel 316
Dry,Low,3,Yes,Event Parts,8,Plywood
Humid,High,7,No,Processing Parts,25,Cast Iron
Coastal,Medium,6,Yes,Architectural Parts,18,Aluminum 6061
Dry,Medium,5,No,Mechanical Parts,20,Carbon Steel
Humid,Low,4,Yes,Interior Parts,10,Engineered Wood
Coastal,High,8,Yes,Offshore Parts,35,Stainless Steel 316
Dry,High,7,No,Transportation Parts,23,Aluminum 6061
Humid,Medium,6,Yes,Water Parts,15,PVC
Coastal,Low,5,No,Garden Parts,13,Teak Wood
Dry,Medium,4,Yes,Construction Parts,11,Galvanized Steel
Humid,High,9,No,Industrial Elements,28,Stainless Steel 304
Coastal,Medium,7,Yes,Marine Elements,19,Aluminum 6061
Dry,Low,2,No,Display Elements,6,Medium Density Fiberboard
Humid,Medium,5,Yes,Bathroom Elements,12,Ceramic
Coastal,High,10,No,Defense Elements,40,Titanium Grade 5
Dry,High,8,Yes,Support Elements,24,Carbon Steel
Humid,Low,3,No,Show Elements,9,Plywood
Coastal,Medium,6,Yes,Ship Elements,21,Stainless Steel 316
Dry,Medium,7,No,Production Elements,20,Cast Iron
Humid,High,8,Yes,Chemical Elements,31,HDPE
Coastal,Low,4,No,Coastal Elements,14,Aluminum 6061
Dry,High,10,Yes,Aerospace Elements,38,Aluminum 6061
Humid,Medium,5,No,Plumbing Elements,13,Copper
Coastal,High,9,Yes,Marine Features,36,Stainless Steel 316
Dry,Low,2,Yes,Event Features,7,Plywood
Humid,High,6,No,Manufacturing Features,24,Cast Iron
Coastal,Medium,5,Yes,Design Features,17,Aluminum 6061
Dry,Medium,6,No,Industrial Features,21,Carbon Steel
Humid,Low,3,Yes,Home Features,10,Engineered Wood
Coastal,High,7,Yes,Oil Features,34,Stainless Steel 316
Dry,High,8,No,Automotive Features,24,Aluminum 6061
Humid,Medium,7,Yes,Water Features,16,PVC
Coastal,Low,4,No,Outdoor Features,12,Teak Wood
Dry,Medium,5,Yes,Construction Features,12,Galvanized Steel
Humid,High,10,No,Industrial Items,30,Stainless Steel 304
Coastal,Medium,6,Yes,Marine Items,20,Aluminum 6061
Dry,Low,3,No,Temporary Items,7,Medium Density Fiberboard
Humid,Medium,4,Yes,Household Items,11,Ceramic
Coastal,High,9,No,Military Items,41,Titanium Grade 5
Dry,High,7,Yes,Structural Items,26,Carbon Steel
Humid,Low,2,No,Display Items,9,Plywood
Coastal,Medium,7,Yes,Ship Items,22,Stainless Steel 316
Dry,Medium,6,No,Factory Items,19,Cast Iron
Humid,High,9,Yes,Chemical Items,33,HDPE
Coastal,Low,5,No,Waterfront Items,15,Aluminum 6061
Dry,High,9,Yes,Aviation Items,37,Aluminum 6061
Humid,Medium,6,No,Plumbing Items,14,Copper
Coastal,High,10,Yes,Naval Items,39,Stainless Steel 316
Dry,Low,3,Yes,Event Items,8,Plywood
Humid,High,7,No,Processing Items,25,Cast Iron
Coastal,Medium,6,Yes,Architectural Items,18,Aluminum 6061
Dry,Medium,5,No,Mechanical Items,20,Carbon Steel
Humid,Low,4,Yes,Interior Items,10,Engineered Wood
Coastal,High,8,Yes,Offshore Items,35,Stainless Steel 316
Dry,High,7,No,Transportation Items,23,Aluminum 6061
Humid,Medium,6,Yes,Water Items,15,PVC
Coastal,Low,5,No,Garden Items,13,Teak Wood
Dry,Medium,4,Yes,Construction Items,11,Galvanized Steel
Humid,High,9,No,Industrial Objects,28,Stainless Steel 304
Coastal,Medium,7,Yes,Marine Objects,19,Aluminum 6061
Dry,Low,2,No,Display Objects,6,Medium Density Fiberboard
Humid,Medium,5,Yes,Bathroom Objects,12,Ceramic
Coastal,High,10,No,Defense Objects,40,Titanium Grade 5
Dry,High,8,Yes,Support Objects,24,Carbon Steel
Humid,Low,3,No,Show Objects,9,Plywood
Coastal,Medium,6,Yes,Ship Objects,21,Stainless Steel 316
Dry,Medium,7,No,Production Objects,20,Cast Iron
Humid,High,8,Yes,Chemical Objects,31,HDPE
Coastal,Low,4,No,Coastal Objects,14,Aluminum 6061
Dry,High,10,Yes,Aerospace Objects,38,Aluminum 6061
Humid,Medium,5,No,Plumbing Objects,13,Copper
Coastal,High,9,Yes,Marine Structures,36,Stainless Steel 316
Dry,Low,2,Yes,Event Structures,7,Plywood
Humid,High,6,No,Manufacturing Structures,24,Cast Iron
Coastal,Medium,5,Yes,Design Structures,17,Aluminum 6061
Dry,Medium,6,No,Industrial Structures,21,Carbon Steel
Humid,Low,3,Yes,Home Structures,10,Engineered Wood
Coastal,High,7,Yes,Oil Structures,34,Stainless Steel 316
Dry,High,8,No,Automotive Structures,24,Aluminum 6061
Humid,Medium,7,Yes,Water Structures,16,PVC
Coastal,Low,4,No,Outdoor Structures,12,Teak Wood
Dry,Medium,5,Yes,Construction Structures,12,Galvanized Steel
Humid,High,10,No,Industrial Installations,30,Stainless Steel 304
Coastal,Medium,6,Yes,Marine Installations,20,Aluminum 6061
Dry,Low,3,No,Temporary Installations,7,Medium Density Fiberboard
Humid,Medium,4,Yes,Household Installations,11,Ceramic
Coastal,High,9,No,Military Installations,41,Titanium Grade 5
Dry,High,7,Yes,Structural Installations,26,Carbon Steel
Humid,Low,2,No,Display Installations,9,Plywood
Coastal,Medium,7,Yes,Ship Installations,22,Stainless Steel 316
Dry,Medium,6,No,Factory Installations,19,Cast Iron
Humid,High,9,Yes,Chemical Installations,33,HDPE
Coastal,Low,5,No,Waterfront Installations,15,Aluminum 6061
Dry,High,9,Yes,Aviation Installations,37,Aluminum 6061
Humid,Medium,6,No,Plumbing Installations,14,Copper
Coastal,High,10,Yes,Naval Installations,39,Stainless Steel 316
Dry,Low,3,Yes,Event Installations,8,Plywood
Humid,High,7,No,Processing Installations,25,Cast Iron
Coastal,Medium,6,Yes,Architectural Installations,18,Aluminum 6061
Dry,Medium,5,No,Mechanical Installations,20,Carbon Steel
Humid,Low,4,Yes,Interior Installations,10,Engineered Wood
Coastal,High,8,Yes,Offshore Installations,35,Stainless Steel 316
Dry,High,7,No,Transportation Installations,23,Aluminum 6061
Humid,Medium,6,Yes,Water Installations,15,PVC
Coastal,Low,5,No,Garden Installations,13,Teak Wood
Dry,Medium,4,Yes,Construction Installations,11,Galvanized Steel
Humid,High,9,No,Industrial Setups,28,Stainless Steel 304
Coastal,Medium,7,Yes,Marine Setups,19,Aluminum 6061
Dry,Low,2,No,Display Setups,6,Medium Density Fiberboard
Humid,Medium,5,Yes,Bathroom Setups,12,Ceramic
Coastal,High,10,No,Defense Setups,40,Titanium Grade 5
Dry,High,8,Yes,Support Setups,24,Carbon Steel
Humid,Low,3,No,Show Setups,9,Plywood
Coastal,Medium,6,Yes,Ship Setups,21,Stainless Steel 316
Dry,Medium,7,No,Production Setups,20,Cast Iron
Humid,High,8,Yes,Chemical Setups,31,HDPE
Coastal,Low,4,No,Coastal Setups,14,Aluminum 6061
Dry,High,10,Yes,Aerospace Setups,38,Aluminum 6061
Humid,Medium,5,No,Plumbing Setups,13,Copper
Coastal,High,9,Yes,Marine Arrangements,36,Stainless Steel 316
Dry,Low,2,Yes,Event Arrangements,7,Plywood
Humid,High,6,No,Manufacturing Arrangements,24,Cast Iron
Coastal,Medium,5,Yes,Design Arrangements,17,Aluminum 6061
Dry,Medium,6,No,Industrial Arrangements,21,Carbon Steel
Humid,Low,3,Yes,Home Arrangements,10,Engineered Wood
Coastal,High,7,Yes,Oil Arrangements,34,Stainless Steel 316
Dry,High,8,No,Automotive Arrangements,24,Aluminum 6061
Humid,Medium,7,Yes,Water Arrangements,16,PVC
Coastal,Low,4,No,Outdoor Arrangements,12,Teak Wood
Dry,Medium,5,Yes,Construction Arrangements,12,Galvanized Steel
Humid,High,10,No,Industrial Configurations,30,Stainless Steel 304
Coastal,Medium,6,Yes,Marine Configurations,20,Aluminum 6061
Dry,Low,3,No,Temporary Configurations,7,Medium Density Fiberboard
Humid,Medium,4,Yes,Household Configurations,11,Ceramic
Coastal,High,9,No,Military Configurations,41,Titanium Grade 5
Dry,High,7,Yes,Structural Configurations,26,Carbon Steel
Humid,Low,2,No,Display Configurations,9,Plywood
Coastal,Medium,7,Yes,Ship Configurations,22,Stainless Steel 316
Dry,Medium,6,No,Factory Configurations,19,Cast Iron
Humid,High,9,Yes,Chemical Configurations,33,HDPE
Coastal,Low,5,No,Waterfront Configurations,15,Aluminum 6061
Dry,High,9,Yes,Aviation Configurations,37,Aluminum 6061
Humid,Medium,6,No,Plumbing Configurations,14,Copper
Coastal,High,10,Yes,Naval Configurations,39,Stainless Steel 316
Dry,Low,3,Yes,Event Configurations,8,Plywood
Humid,High,7,No,Processing Configurations,25,Cast Iron
Coastal,Medium,6,Yes,Architectural Configurations,18,Aluminum 6061
Dry,Medium,5,No,Mechanical Configurations,20,Carbon Steel
Humid,Low,4,Yes,Interior Configurations,10,Engineered Wood
Coastal,High,8,Yes,Offshore Configurations,35,Stainless Steel 316
Dry,High,7,No,Transportation Configurations,23,Aluminum 6061
Humid,Medium,6,Yes,Water Configurations,15,PVC
Coastal,Low,5,No,Garden Configurations,13,Teak Wood
Dry,Medium,4,Yes,Construction Configurations,11,Galvanized Stellite
Humid,Medium,5,Yes,Water Tanks,14,HDPE
Dry,High,8,No,Machine Frames,22,Carbon Steel
Coastal,Low,6,Yes,Decking,12,Teak Wood
Humid,High,9,No,Chemical Vats,28,Stainless Steel 316
Dry,Medium,4,Yes,Shelving Units,9,Plywood
Coastal,High,7,Yes,Boat Hulls,30,Aluminum 6061
Humid,Low,3,No,Partitions,7,Medium Density Fiberboard
Dry,High,10,No,Aircraft Landing Gear,40,Titanium Grade 5
Coastal,Medium,5,Yes,Dock Components,18,Galvanized Steel
Humid,Medium,6,No,Pipe Fittings,13,Brass
Dry,Low,2,Yes,Exhibition Stands,5,Plywood
Coastal,High,8,Yes,Submarine Parts,35,Stainless Steel 316
Humid,High,7,No,Reactor Vessels,26,Cast Iron
Dry,Medium,5,Yes,Display Cases,11,Polycarbonate
Coastal,Low,4,No,Beach Furniture,10,Aluminum 6061
Humid,Medium,6,Yes,Swimming Pool Liners,15,PVC
Dry,High,9,No,Turbine Blades,32,Carbon Fiber Composite
Coastal,High,10,Yes,Desalination Plants,38,Stainless Steel 316
Humid,Low,3,Yes,Acoustic Panels,8,Fiberglass
Dry,Medium,6,No,Conveyor Systems,19,Carbon Steel
Coastal,Medium,7,Yes,Fishing Equipment,21,Stainless Steel 304
Humid,High,8,No,Pressure Vessels,29,Stainless Steel 316
Dry,Low,4,Yes,Model Making,6,ABS Plastic
Coastal,High,9,Yes,Lighthouse Structures,33,Stainless Steel 316
Humid,Medium,5,No,Bathroom Partitions,12,Ceramic
Dry,High,7,No,Excavator Parts,24,Cast Iron
Coastal,Low,6,Yes,Marine Walkways,16,Aluminum 6061
Humid,High,9,Yes,Sewage Systems,27,HDPE
Dry,Medium,4,No,Workbenches,10,Medium Density Fiberboard
Coastal,High,8,Yes,Oil Pipeline,34,Stainless Steel 316
Humid,Low,3,Yes,Greenhouse Frames,7,Aluminum 6061
Dry,High,10,No,Rocket Components,42,Titanium Grade 5
Coastal,Medium,5,No,Coastal Barriers,17,Galvanized Steel
Humid,Medium,6,Yes,Water Treatment,14,PVC
Dry,Low,2,No,Packaging Crates,4,Plywood
Coastal,High,9,Yes,Ship Propellers,36,Stainless Steel 316
Humid,High,7,No,Industrial Ovens,25,Cast Iron
Dry,Medium,5,Yes,Skylights,10,Polycarbonate
Coastal,Low,4,No,Boardwalk Railings,9,Aluminum 6061
Humid,Medium,6,Yes,Irrigation Pipes,15,HDPE
Dry,High,8,No,Crane Components,28,Carbon Steel
Coastal,High,10,Yes,Wind Turbine Towers,40,Stainless Steel 316
Humid,Low,3,Yes,Partition Walls,7,Engineered Wood
Dry,Medium,6,No,Material Handling,18,Carbon Steel
Coastal,Medium,7,Yes,Navigation Buoys,20,Stainless Steel 304
Humid,High,8,No,Autoclave Chambers,30,Stainless Steel 316
Dry,Low,4,Yes,Prototypes,5,ABS Plastic
Coastal,High,9,Yes,Pier Supports,32,Stainless Steel 316
Humid,Medium,5,No,Laboratory Countertops,11,Ceramic
Dry,High,7,No,Press Frames,23,Cast Iron
Coastal,Low,6,Yes,Floating Docks,15,Aluminum 6061
Humid,High,9,Yes,Chemical Dosing,26,HDPE
Dry,Medium,4,No,Shop Fixtures,8,Medium Density Fiberboard
Coastal,High,8,Yes,Offshore Wind,33,Stainless Steel 316
Humid,Low,3,Yes,Aquarium Frames,6,Aluminum 6061
Dry,High,10,No,Satellite Parts,41,Titanium Grade 5
Coastal,Medium,5,No,Sea Wall,16,Galvanized Steel
Humid,Medium,6,Yes,Water Slides,13,PVC
Dry,Low,2,No,Trade Show Displays,3,Plywood
Coastal,High,9,Yes,Ship Rudders,35,Stainless Steel 316
Humid,High,7,No,Furnace Parts,24,Cast Iron
Dry,Medium,5,Yes,Conservatory Roofs,9,Polycarbonate
Coastal,Low,4,No,Beach Umbrella Stands,8,Aluminum 6061
Humid,Medium,6,Yes,Geothermal Piping,14,HDPE
Dry,High,8,No,Forging Dies,27,Carbon Steel
Coastal,High,10,Yes,Tidal Power,39,Stainless Steel 316
Humid,Low,3,Yes,Office Dividers,6,Engineered Wood
Dry,Medium,6,No,Factory Equipment,17,Carbon Steel
Coastal,Medium,7,Yes,Boat Anchors,19,Stainless Steel 304
Humid,High,8,No,Reaction Vessels,29,Stainless Steel 316
Dry,Low,4,Yes,Concept Models,4,ABS Plastic
Coastal,High,9,Yes,Harbor Structures,31,Stainless Steel 316
Humid,Medium,5,No,Lab Sinks,10,Ceramic
Dry,High,7,No,Gearbox Housings,22,Cast Iron
Coastal,Low,6,Yes,Marine Ladders,14,Aluminum 6061
Humid,High,9,Yes,Effluent Pipes,25,HDPE
Dry,Medium,4,No,Retail Displays,7,Medium Density Fiberboard
Coastal,High,8,Yes,Oil Rig,32,Stainless Steel 316
Humid,Low,3,Yes,Hydroponic Systems,5,Aluminum 6061
Dry,High,10,No,Jet Engine Parts,40,Titanium Grade 5
Coastal,Medium,5,No,Breakwaters,15,Galvanized Steel
Humid,Medium,6,Yes,Pool Filters,12,PVC
Dry,Low,2,No,Stage Props,2,Plywood
Coastal,High,9,Yes,Ship Masts,34,Stainless Steel 316
Humid,High,7,No,Smelting Equipment,23,Cast Iron
Dry,Medium,5,Yes,Carports,8,Polycarbonate
Coastal,Low,4,No,Seaside Benches,7,Aluminum 6061
Humid,Medium,6,Yes,Water Mains,13,HDPE
Dry,High,8,No,Press Brakes,26,Carbon Steel
Coastal,High,10,Yes,Wave Energy,38,Stainless Steel 316
